            ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
    Tlag_pop;   0.78877;   0.17789;     22.55;        NaN
      ka_pop;   1.28289;   0.25108;     19.57;        NaN
       V_pop;   7.93960;   0.21966;      2.77;        NaN
 beta_V_lw70;   0.88185;   0.14106;     16.00;    0.00000
      Cl_pop;   0.13452;   0.00638;      4.75;        NaN
beta_Cl_lw70;   0.60411;   0.25164;     41.65;    0.01636
    Imax_pop;   0.97807;   0.00914;      0.93;        NaN
    IC50_pop;   1.04498;   0.09722;      9.30;        NaN
     kin_pop;   5.24753;   0.16524;      3.15;        NaN
    kout_pop;   0.05434;   0.00166;      3.05;        NaN
  omega_Tlag;   0.57421;   0.17047;     29.69;        NaN
    omega_ka;   0.73671;   0.14528;     19.72;        NaN
     omega_V;   0.13672;   0.02178;     15.93;        NaN
    omega_Cl;   0.26209;   0.03394;     12.95;        NaN
  omega_Imax;   0.36382;   1.22517;    336.75;        NaN
  omega_IC50;   0.48199;   0.06626;     13.75;        NaN
   omega_kin;   0.02430;   0.03957;    162.83;        NaN
  omega_kout;   0.04160;   0.02035;     48.91;        NaN
          a1;   0.26629;   0.04535;     17.03;        NaN
          b1;   0.05827;   0.00908;     15.58;        NaN
          a2;   4.16412;   0.24928;      5.99;        NaN
