   ID	    ka_mode	   V_mode	   Cl_mode	   gamma_mode	   beta_mode	   ka_mean	   V_mean	   Cl_mean	   gamma_mean	   beta_mean	   ka_sd	   V_sd	   Cl_sd	   gamma_sd	   beta_sd	
    1	    0.89414	   8.2852	   0.13026	       1.1104	     0.51201	   0.96061	   8.2057	   0.12951	       1.1104	     0.51918	 0.27367	0.68973	0.012395	          0	  0.072511	
    2	    0.66819	   9.4192	    0.1493	       1.1104	      0.5099	   0.75588	   9.4164	   0.14856	       1.1104	     0.52198	 0.20563	 0.9617	 0.01502	          0	  0.076219	
    3	    0.85621	    11.33	    0.1236	       1.1104	     0.52095	   0.86849	   11.115	   0.12515	       1.1104	     0.52985	 0.22105	0.76165	0.014264	          0	  0.077912	
    4	    0.96806	   8.7804	    0.1387	       1.1104	     0.54442	    1.0779	   8.8029	   0.13794	       1.1104	     0.54093	 0.25826	0.77859	0.013614	          0	   0.07578	
    5	    0.45256	   6.8658	   0.15272	       1.1104	     0.50422	   0.49645	   6.8506	   0.15213	       1.1104	      0.5097	 0.14878	0.67096	0.011696	          0	  0.075271	
    6	    0.27689	   8.1851	   0.17724	       1.1104	      0.4888	   0.29283	   8.1831	   0.17448	       1.1104	     0.48485	0.081048	0.81113	0.019158	          0	  0.079284	
    7	      1.364	   8.2819	   0.13147	       1.1104	     0.48602	    1.5124	   8.3407	   0.12988	       1.1104	     0.49067	  0.3783	0.64766	0.012497	          0	  0.070451	
    8	    0.92902	   10.576	   0.12906	       1.1104	     0.51528	    1.0551	   10.473	   0.12976	       1.1104	     0.53594	 0.28711	0.73946	0.013749	          0	  0.072386	
    9	     1.3303	   10.482	   0.15107	       1.1104	     0.54586	    1.4005	   10.463	   0.14746	       1.1104	     0.55345	 0.31238	0.79761	0.019365	          0	  0.089508	
   10	    0.97532	   7.3175	   0.11911	       1.1104	     0.53488	    1.0117	   7.2862	    0.1185	       1.1104	     0.54065	 0.24991	0.55426	0.013208	          0	   0.07918	
   11	     1.1704	   7.0143	   0.16061	       1.1104	     0.53567	    1.2634	   7.0435	   0.15496	       1.1104	     0.54041	 0.29544	0.61651	0.014703	          0	  0.078192	
   12	     1.5039	   6.0685	   0.11835	       1.1104	     0.50715	    1.6438	   6.1518	   0.11649	       1.1104	     0.52198	 0.39126	0.53906	0.010235	          0	  0.079279	
   13	    0.47262	   7.6142	  0.081664	       1.1104	     0.60408	   0.52438	   7.7135	  0.079328	       1.1104	     0.63285	 0.14043	 0.5607	0.0084377	          0	  0.089053	
   14	     1.4254	   8.9715	  0.096927	       1.1104	     0.50986	    1.5549	   8.9523	  0.094952	       1.1104	     0.50843	 0.36619	0.62727	 0.01225	          0	  0.072402	
   15	     1.0696	   6.5233	   0.12944	       1.1104	     0.50103	    1.1688	   6.5713	   0.12749	       1.1104	     0.50441	   0.301	0.56373	0.010038	          0	  0.069649	
   16	    0.59308	   9.3979	   0.16343	       1.1104	      0.5137	   0.71223	   9.5188	   0.16166	       1.1104	      0.5093	  0.2105	0.85769	0.017876	          0	  0.074534	
   17	     0.9173	   6.6547	   0.15652	       1.1104	     0.48624	   0.97614	   6.7378	   0.15564	       1.1104	     0.49303	 0.22038	0.59925	0.015988	          0	  0.072065	
   18	    0.69296	   7.6442	   0.14978	       1.1104	     0.48651	   0.74638	   7.5798	   0.15007	       1.1104	     0.48419	 0.22853	0.70518	0.015317	          0	  0.083673	
   19	     1.7085	   6.8777	   0.15344	       1.1104	     0.59504	    2.0408	   6.9801	    0.1487	       1.1104	     0.58537	 0.62368	0.70564	0.014939	          0	  0.077154	
   20	    0.74657	   8.7017	   0.16976	       1.1104	     0.51283	   0.78303	   8.5035	   0.17057	       1.1104	     0.51175	 0.20734	0.71794	0.015691	          0	  0.068952	
   21	     1.0601	   8.1112	    0.1012	       1.1104	      0.4889	    1.1325	   8.0228	   0.10323	       1.1104	     0.50378	 0.27119	0.65665	0.011707	          0	  0.070503	
   22	     1.3024	   7.4822	   0.10362	       1.1104	     0.47946	    1.5088	   7.4503	   0.10174	       1.1104	     0.48896	 0.40675	0.64329	0.011383	          0	  0.068749	
   23	     1.1885	   7.2777	   0.14745	       1.1104	     0.50399	    1.2474	   7.1954	   0.14668	       1.1104	       0.496	 0.30954	0.64658	 0.01447	          0	  0.073371	
   24	     1.3638	   7.9513	    0.1265	       1.1104	     0.48211	    1.5942	   7.9193	   0.12689	       1.1104	     0.47846	 0.54106	0.71728	0.012334	          0	  0.069795	
   25	    0.90235	    7.627	   0.11614	       1.1104	     0.50353	      1.03	   7.7245	   0.11429	       1.1104	     0.51658	  0.3216	0.59969	0.011815	          0	  0.079892	
   26	     1.2532	    10.91	   0.13305	       1.1104	     0.51053	    1.3719	   10.951	   0.12916	       1.1104	     0.52843	 0.30385	0.97608	0.016711	          0	  0.073955	
   27	    0.66768	   8.1888	   0.13534	       1.1104	     0.53557	   0.73995	     8.15	   0.13662	       1.1104	     0.53412	 0.18128	  0.665	 0.01513	          0	  0.079751	
   28	    0.55514	    8.701	   0.12449	       1.1104	     0.48333	   0.64701	   8.7494	   0.12512	       1.1104	     0.48234	 0.22398	0.79753	0.014655	          0	  0.065759	
   29	     1.0322	   7.1961	   0.13941	       1.1104	     0.48222	    1.1939	   7.3532	   0.13547	       1.1104	     0.46925	 0.33279	0.70134	 0.01445	          0	  0.062821	
   30	    0.96716	   10.104	   0.15608	       1.1104	     0.51047	   0.99791	    10.06	   0.15337	       1.1104	     0.50063	 0.21456	0.76252	 0.02094	          0	  0.075595	
   31	     1.1381	   6.8758	   0.15201	       1.1104	     0.52444	     1.202	   6.8263	   0.15017	       1.1104	     0.52521	 0.35779	0.56853	0.013077	          0	  0.067871	
   32	     1.7803	   5.4387	    0.1021	       1.1104	     0.48193	    1.9552	   5.3804	   0.10471	       1.1104	     0.47405	 0.50146	0.42886	0.0090882	          0	  0.062456	
   33	      1.356	   7.6499	   0.10867	       1.1104	     0.52405	    1.4326	   7.6438	    0.1077	       1.1104	     0.52777	 0.36359	0.59622	0.010343	          0	  0.077693	
   34	    0.62412	   7.7186	   0.10731	       1.1104	      0.4804	   0.69906	   7.7456	    0.1068	       1.1104	     0.47792	 0.21361	0.59785	0.011098	          0	  0.071493	
   35	    0.55397	   8.2211	   0.12806	       1.1104	     0.55387	   0.62408	   8.1638	   0.12802	       1.1104	     0.56007	  0.1869	0.63016	0.013048	          0	   0.08434	
   36	    0.43363	   8.2316	   0.11819	       1.1104	     0.50702	    0.4833	   8.1307	    0.1198	       1.1104	      0.5108	 0.18842	0.75862	0.013201	          0	  0.080968	
   37	     0.8929	   7.4097	   0.15601	       1.1104	     0.50954	    1.0349	   7.4479	    0.1564	       1.1104	     0.52519	 0.30562	0.64798	0.012302	          0	  0.070273	
   38	    0.42073	   8.2377	   0.14594	       1.1104	     0.51826	   0.45242	   8.1671	   0.14204	       1.1104	      0.5321	 0.11529	0.82295	0.016232	          0	  0.088305	
   39	     1.0076	   6.4079	   0.12171	       1.1104	     0.54988	    1.0415	    6.255	   0.12247	       1.1104	     0.55592	 0.28178	0.61314	 0.01289	          0	  0.088458	
   40	     0.8423	   7.5934	  0.098149	       1.1104	     0.50032	   0.95406	   7.6982	  0.095869	       1.1104	     0.50441	 0.26131	0.47233	0.0094866	          0	  0.067333	
   41	      1.049	   10.972	   0.15836	       1.1104	     0.47692	    1.1293	   10.914	    0.1576	       1.1104	      0.4792	 0.33144	 1.0198	0.019373	          0	  0.060977	
   42	     1.4435	   8.6006	   0.11744	       1.1104	     0.50596	     1.589	   8.5852	   0.11482	       1.1104	     0.52241	 0.43885	0.65155	0.012718	          0	  0.080066	
   43	      1.114	   9.2878	   0.11018	       1.1104	     0.51621	    1.2807	   9.4182	   0.10795	       1.1104	      0.5172	 0.39752	0.70106	0.011689	          0	  0.069782	
   44	    0.55562	   8.3794	   0.12834	       1.1104	     0.48864	    0.6156	   8.3985	   0.12725	       1.1104	     0.48888	 0.19981	0.67008	0.015066	          0	  0.066815	
   45	    0.82852	   6.9047	   0.14342	       1.1104	     0.51217	   0.91039	   6.9125	   0.14113	       1.1104	     0.53125	 0.26767	0.61616	0.013667	          0	  0.069635	
   46	      1.294	   5.7711	   0.13443	       1.1104	     0.48726	    1.4541	   5.7979	   0.13199	       1.1104	     0.48717	 0.28902	 0.4465	0.010923	          0	  0.070703	
   47	     1.6227	   9.0772	   0.13214	       1.1104	     0.51624	    1.8828	   9.1115	   0.12901	       1.1104	     0.51527	 0.56676	 0.7211	0.015588	          0	  0.070268	
   48	    0.54534	   7.9422	  0.096202	       1.1104	     0.53088	   0.57706	   7.8598	  0.095308	       1.1104	     0.51857	 0.14332	0.54227	0.010295	          0	  0.072074	
