            ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
    Tlag_pop;   0.64874;   0.16638;     25.65;        NaN
      ka_pop;   1.24417;   0.29562;     23.76;        NaN
       V_pop;   7.96241;   0.22378;      2.81;        NaN
 beta_V_lw70;   0.88534;   0.14350;     16.21;    0.00000
      Cl_pop;   0.13443;   0.00636;      4.73;        NaN
beta_Cl_lw70;   0.60386;   0.25124;     41.61;    0.01624
    Imax_pop;   0.96437;   0.00532;      0.55;        NaN
    IC50_pop;   0.99319;   0.09156;      9.22;        NaN
     Rin_pop;   5.45494;   0.18824;      3.45;        NaN
    kout_pop;   0.05629;   0.00183;      3.25;        NaN
  omega_Tlag;   0.66831;   0.19370;     28.98;        NaN
    omega_ka;   0.81457;   0.17932;     22.01;        NaN
     omega_V;   0.13964;   0.02190;     15.68;        NaN
    omega_Cl;   0.26156;   0.03388;     12.95;        NaN
  omega_Imax;   0.16627;   0.16900;    101.64;        NaN
  omega_IC50;   0.48647;   0.06689;     13.75;        NaN
   omega_Rin;   0.03730;   0.02700;     72.40;        NaN
  omega_kout;   0.02952;   0.02857;     96.78;        NaN
   corr_V_Cl;   0.17681;   0.19623;    110.98;        NaN
          a1;   0.26901;   0.04547;     16.90;        NaN
          b1;   0.05682;   0.00903;     15.89;        NaN
          a2;   4.24371;   0.24489;      5.77;        NaN
