            ; parameter;   s.e._sa;r.s.e._sa;pvalues_sa
    Tlag_pop;   0.93302;   0.15918;    17.06;       NaN
      ka_pop;   1.39723;   0.40081;    28.69;       NaN
       V_pop;   8.04369;   0.22759;     2.83;       NaN
 beta_V_lw70;   0.90031;   0.13612;    15.12;   0.00000
      Cl_pop;   0.13377;   0.00623;     4.66;       NaN
beta_Cl_lw70;   0.60053;   0.24601;    40.96;   0.01464
     ke0_pop;   0.01818;   0.00117;     6.43;       NaN
   alpha_pop; -16.49764;   2.09629;    12.71;       NaN
    beta_pop;   4.61165;   0.50716;    11.00;       NaN
   gamma_pop;   5.54426;   1.11785;    20.16;       NaN
  omega_Tlag;   0.47376;   0.14857;    31.36;       NaN
    omega_ka;   0.83811;   0.25398;    30.30;       NaN
     omega_V;   0.12961;   0.02397;    18.50;       NaN
    omega_Cl;   0.25584;   0.03362;    13.14;       NaN
   omega_ke0;   0.10477;   0.09296;    88.73;       NaN
 omega_alpha;   2.84019;   0.67594;    23.80;       NaN
  omega_beta;   0.00000;   0.00000;     0.00;       NaN
 omega_gamma;   0.00000;   0.00000;     0.00;       NaN
           a;   0.23755;   0.04168;    17.55;       NaN
           b;   0.06282;   0.00848;    13.50;       NaN
