Records with TIME=0 do not correspond to experimental data but they were added to indicate the initial integration times and conditions for the odes,,,,
ID,TIME,DV,CONC,EVID
1,0,.,0,2
1,4,2330.56,0,0
1,8,3164.31,0,0
1,12,2814.66,0,0
1,24,5468.12,0,0
1,48,8707.01,0,0
1,72,18111.98,0,0
2,0,.,0.00977,2
2,4,2578.07,0.00977,0
2,8,2725.68,0.00977,0
2,12,2617.19,0.00977,0
2,24,3717.42,0.00977,0
2,48,7248.84,0.00977,0
2,72,18730.42,0.00977,0
3,0,.,0.03906,2
3,4,2380.92,0.03906,0
3,8,2323.71,0.03906,0
3,12,3213.21,0.03906,0
3,24,4036.26,0.03906,0
3,48,7947.26,0.03906,0
3,72,13695.56,0.03906,0
4,0,.,0.15625,2
4,4,2505.18,0.15625,0
4,8,2749.81,0.15625,0
4,12,3097.78,0.15625,0
4,24,3891.76,0.15625,0
4,48,6223.51,0.15625,0
4,72,8846.19,0.15625,0
5,0,.,0.625,2
5,4,2203.04,0.625,0
5,8,2150.75,0.625,0
5,12,2263.17,0.625,0
5,24,3676.34,0.625,0
5,48,3277.55,0.625,0
5,72,1834.7,0.625,0
6,0,.,2.5,2
6,4,1999.06,2.5,0
6,8,2147.99,2.5,0
6,12,2648.92,2.5,0
6,24,2333.38,2.5,0
6,48,876.95,2.5,0
6,72,369.25,2.5,0
7,0,.,5,2
7,4,1850.61,5,0
7,8,2462.91,5,0
7,12,2493.46,5,0
7,24,1976.44,5,0
7,48,950.73,5,0
7,72,223.42,5,0
8,0,.,10,2
8,4,2203.47,10,0
8,8,2338.58,10,0
8,12,2089.07,10,0
8,24,1839.06,10,0
8,48,745.4,10,0
8,72,248.89,10,0
