id time y1
1 1.2 218.1
1 2.12 294.6
1 2.55 202.3
1 2.75 164.1
1 3.05 180.6
1 3.33 133.3
1 4.33 88.5
1 5.58 72
1 9.72 25.8
1 21.58 14.1
1 45.58 10.1
2 1 178.2
2 1.5 144.6
2 2.5 89.2
2 4.5 57.5
2 8.5 26.2
2 16.5 13.4
2 24.25 7.09
2 36.25 3.35
2 48.25 2.47
3 1 89.8
3 2 64.5
3 4 45.4
3 8 27.9
3 16 17.5
3 24 11.8
3 32 8.87
3 40 5.99
3 43.75 6.55
4 2 170.5
4 3 78.3
4 4 52.2
4 6 43.8
4 21 13.1
4 24 14.9
4 47 7
5 0.5 58.7
5 1 55.5
5 2 39.8
5 4 20.1
5 23.92 3.78
6 1.03 65.6
6 1.85 110.3
6 2.28 72.3
6 2.62 62.6
6 2.82 49.9
6 3.2 49
6 4.02 53.7
6 6.08 19.1
6 11.78 29.3
6 20.28 57.33
6 23.78 8.4
6 24.6 28.2
6 24.78 191
6 25.32 120.4
6 25.97 76.9
6 26.35 61.3
6 27.42 32.4
6 28.4 29.2
6 30.58 46.9
6 32.37 8.69
6 37.03 17.7
6 45.28 9.97
6 47.35 30.3
7 2.17 45.1
7 3.08 22.8
7 4.08 17.6
7 6.47 11.3
7 10.5 9.6
7 14.08 2.2
7 21.58 1.1
7 23.92 1.2
7 24.42 49.4
7 24.92 20.7
7 25.92 4.09
7 27.33 23.8
7 31.83 9.8
7 37.58 4.4
7 45.58 2.1
8 0.98 137.85
8 2.07 143.33
8 2.32 81.44
8 2.57 66.19
8 2.83 57.67
8 3.08 46.53
8 4.08 17.14
8 6.11 9
8 12.17 8.3
8 22.77 3.42
8 23.37 158.62
8 23.87 177.78
8 24.38 166.24
8 24.63 60.3
8 24.67 30.43
8 26.13 18.54
8 27.08 7.83
8 29.13 7.1
9 0.98 51.1
9 2.08 104.21
9 2.33 78.41
9 2.6 71.51
9 2.87 57.43
9 3.08 62.4
9 4.05 29.55
9 6.03 22.44
9 9.17 13.19
9 11.9 10.15
9 20 4.02
9 22.92 4.63
9 23.33 38.22
9 23.58 68.16
9 24.08 71.07
9 24.63 65.8
9 24.67 48.45
9 26.13 38.66
