id time y1
1 0 7.0626
1 28 5.3154
1 56 5.049
1 84 5.6806
1 112 4.0028
1 317 3.6217
1 337 3
1 363 5.5407
1 398 5.8491
1 421 5.9858
1 485 5.8889
1 504 6.2885
2 0 7.3723
2 27 6.5919
2 59 7.2653
2 83 5.9606
2 111 6.1681
2 306 6.0419
2 334 6.3326
2 488 7.6078
2 514 5.8856
3 0 4.8867
3 27 4.835
3 55 3
3 85 3
3 113 4.1582
3 326 3.7323
3 456 5.4946
4 0 6.2767
4 28 5.742
4 56 4.8159
4 98 4.6302
4 112 5.3057
4 336 5.0282
4 385 5.7806
4 427 5.9952
4 488 5.2654
4 511 5.747
5 0 6.3371
5 28 3.7453
5 56 3.5277
5 84 4.1703
5 112 3
5 308 3
5 329 3
5 476 7.6844
5 506 5.6669
6 0 6.698
6 33 5.047
6 73 3.3128
6 97 3.9839
6 125 3
6 159 6.3802
6 228 5.5482
6 280 6.6502
6 332 6.8869
6 440 6.5431
7 0 5.2855
7 0 5.6736
7 28 3.9203
7 56 3.7198
7 84 3
7 112 4.4794
7 308 3
7 329 3
7 364 4.4989
7 476 5.7624
7 497 5.0668
8 0 3.1627
8 27 3.702
8 55 4.4151
8 83 4.087
8 111 4.5918
8 307 4.5157
8 330 5.0383
8 468 5.1303
8 497 5.3484
9 3.5 8.0768
9 4 6.7642
9 5 6.2459
9 28 6.0592
9 28 6.5919
9 56 6.5225
9 84 6.4484
9 252 6.5885
9 308 7.0193
9 336 6.1811
9 339.5 6.2066
9 341 6.1317
9 342 6.8177
9 343 6.8224
9 496 6.7043
10 28 4.6398
10 84 3
10 84 3.2448
10 105 3
10 140 3
10 168 3
10 196 3
10 224 3
10 280 3
10 308 3
10 310 3
10 338 3
10 339.5 3
10 340 3
10 341 3
11 0 4.8268
11 28 3
11 56 3
11 84 3
11 118 3
11 314 3
11 336 3
11 515 3
12 0 3.1715
12 28 3
12 56 3
12 84 3
12 112 3
12 315 3
12 336 3
12 364 3
12 392 3
12 476 3
12 496 3
13 2 3.3721
13 28 3.85
13 56 3.0742
13 112 3
13 112 3.8812
13 140 3.5804
13 168 3
13 280 3
13 308 3
13 329 3
13 336.33 3
13 337 3
13 340 3
13 343 3
13 494 4.4142
14 0 4.786
14 35 3
14 63 3
14 92 3
14 122 3
14 316 3
14 332 3
14 360 3
14 388 3
14 416 3
14 476 3
14 499 3
15 0 6.3967
15 28 6.1712
15 56 7.0933
15 84 6.26
15 112 5.6254
15 196 5.2833
15 224 6.6639
15 252 6.5697
15 308 6.6617
15 308 6.4192
15 329 6.7218
15 468 5.9774
15 504 5.4651
16 0 5.1318
16 32 3
16 62 3.0319
16 90 3
16 123 3
16 260 3
16 319 3
16 347 3
16 382 3
16 488 3
16 511 3
17 0 6.2347
17 28 5.4792
17 56 5.8357
17 84 4.5461
17 112 4.4337
17 308 3.2463
17 329 3
17 364 3
17 385 3.1039
17 413 3.0002
17 469 4.3625
17 498 5.7771
18 0 6.3466
18 0 6.202
18 1 6.9117
18 2 6.9455
18 3 5.8175
18 6 5.7703
18 28 5.404
18 28 6.8523
18 56 6.2639
18 84 4.5373
18 140 3.8844
18 308 3
18 329 3
18 383 6.8459
18 502 7.0834
19 0 6.2102
19 3 6.5767
19 4 6.0805
19 5 5.4928
19 6 7.1642
19 56 6.5628
19 85 4.8861
19 112 6.3176
19 113 5.0818
19 140 6.1965
19 168 5.8293
19 224 6.5301
19 252 5.6276
19 358 6.0204
19 509 6.0094
