time	y	ytype	amount	V	Cl
0	0	2	.	10.8588	0.72021
0	.	.	100	10.8588	0.72021
1.00891	1	2	.	10.8588	0.72021
2	9.2237	1	.	10.8588	0.72021
4	6.03293	1	.	10.8588	0.72021
6	7.10356	1	.	10.8588	0.72021
8	6.28368	1	.	10.8588	0.72021
10	4.90079	1	.	10.8588	0.72021
12	4.21264	1	.	10.8588	0.72021
14	4.09563	1	.	10.8588	0.72021
16	2.83856	1	.	10.8588	0.72021
18	2.77024	1	.	10.8588	0.72021
20	2.75701	1	.	10.8588	0.72021
22	2.09466	1	.	10.8588	0.72021
24	1.98122	1	.	10.8588	0.72021
26	1.33673	1	.	10.8588	0.72021
28	1.41259	1	.	10.8588	0.72021
30	1.20345	1	.	10.8588	0.72021
