id	time	y	ytype	amount
1	0	.	.	100
1	2	78.53975	2	.
1	5	5.37155	1	.
1	6	68.00458	2	.
1	10	2.79246	1	.
1	10	56.80204	2	.
1	12	.	.	100
1	14	81.70549	2	.
1	15	8.22441	1	.
1	18	72.13076	2	.
1	20	5.13281	1	.
1	22	63.26653	2	.
1	24	.	.	100
1	25	9.31542	1	.
1	26	82.70206	2	.
1	30	6.54704	1	.
1	30	73.91786	2	.
1	34	63.9471	2	.
1	35	4.44099	1	.
1	36	.	.	100
1	38	80.71959	2	.
1	40	8.21916	1	.
1	42	73.36852	2	.
1	45	5.2447	1	.
1	46	62.13749	2	.
1	48	.	.	100
1	50	11.38407	1	.
1	50	80.77605	2	.
1	60	.	.	100
1	72	.	.	100
1	84	.	.	100
1	96	.	.	100
1	108	.	.	100
1	120	.	.	100
1	132	.	.	100
2	0	.	.	100
2	2	76.38835	2	.
2	5	5.32469	1	.
2	6	65.61211	2	.
2	10	2.96064	1	.
2	10	55.36521	2	.
2	12	.	.	100
2	14	81.09455	2	.
2	15	8.78059	1	.
2	18	71.8832	2	.
2	20	5.93867	1	.
2	22	60.8466	2	.
2	24	.	.	100
2	25	10.88332	1	.
2	26	81.3837	2	.
2	30	7.51943	1	.
2	30	73.20065	2	.
2	34	60.36949	2	.
2	35	3.25882	1	.
2	36	.	.	100
2	38	81.89117	2	.
2	40	8.0047	1	.
2	42	74.5624	2	.
2	45	4.54403	1	.
2	46	60.98767	2	.
2	48	.	.	100
2	50	11.10313	1	.
2	50	81.77694	2	.
2	60	.	.	100
2	72	.	.	100
2	84	.	.	100
2	96	.	.	100
2	108	.	.	100
2	120	.	.	100
2	132	.	.	100
3	0	.	.	100
3	2	78.72135	2	.
3	5	6.27075	1	.
3	6	71.64247	2	.
3	10	3.78674	1	.
3	10	59.22353	2	.
3	12	.	.	100
3	14	80.75569	2	.
3	15	10.52574	1	.
3	18	73.30969	2	.
3	20	5.9428	1	.
3	22	65.10088	2	.
3	24	.	.	100
3	25	17.11065	1	.
3	26	81.64488	2	.
3	30	7.95414	1	.
3	30	76.14113	2	.
3	34	64.69444	2	.
3	35	4.01571	1	.
3	36	.	.	100
3	38	82.81008	2	.
3	40	8.65782	1	.
3	42	75.23611	2	.
3	45	5.87224	1	.
3	46	69.22361	2	.
3	48	.	.	100
3	50	13.56566	1	.
3	50	83.06456	2	.
3	60	.	.	100
3	72	.	.	100
3	84	.	.	100
3	96	.	.	100
3	108	.	.	100
3	120	.	.	100
3	132	.	.	100
4	0	.	.	100
4	2	72.12106	2	.
4	5	5.43744	1	.
4	6	64.95467	2	.
4	10	4.29432	1	.
4	10	56.16481	2	.
4	12	.	.	100
4	14	76.45771	2	.
4	15	8.67762	1	.
4	18	70.90595	2	.
4	20	4.91647	1	.
4	22	62.7531	2	.
4	24	.	.	100
4	25	10.33893	1	.
4	26	79.84938	2	.
4	30	6.46315	1	.
4	30	72.79863	2	.
4	34	64.71099	2	.
4	35	4.76352	1	.
4	36	.	.	100
4	38	78.27904	2	.
4	40	8.49802	1	.
4	42	72.67841	2	.
4	45	5.24994	1	.
4	46	66.69303	2	.
4	48	.	.	100
4	50	11.71589	1	.
4	50	79.02192	2	.
4	60	.	.	100
4	72	.	.	100
4	84	.	.	100
4	96	.	.	100
4	108	.	.	100
4	120	.	.	100
4	132	.	.	100
5	0	.	.	100
5	2	73.26363	2	.
5	5	7.82126	1	.
5	6	63.71013	2	.
5	10	3.67794	1	.
5	10	56.95243	2	.
5	12	.	.	100
5	14	78.49484	2	.
5	15	8.99969	1	.
5	18	72.51391	2	.
5	20	5.66261	1	.
5	22	61.96534	2	.
5	24	.	.	100
5	25	12.31132	1	.
5	26	78.13106	2	.
5	30	7.12963	1	.
5	30	73.56064	2	.
5	34	63.7837	2	.
5	35	5.61209	1	.
5	36	.	.	100
5	38	79.84582	2	.
5	40	8.78133	1	.
5	42	73.74739	2	.
5	45	5.86275	1	.
5	46	63.1841	2	.
5	48	.	.	100
5	50	12.02248	1	.
5	50	80.17232	2	.
5	60	.	.	100
5	72	.	.	100
5	84	.	.	100
5	96	.	.	100
5	108	.	.	100
5	120	.	.	100
5	132	.	.	100
