id,time,y2
1,2,77.94171
1,8,68.515
1,14,84.6002
1,20,77.39287
1,26,84.89897
1,32,78.986
1,38,85.64299
1,44,79.31838
1,50,87.87676
2,2,69.39554
2,8,52.24664
2,14,73.85824
2,20,59.17004
2,26,75.17182
2,32,56.63569
2,38,73.88728
2,44,58.08089
2,50,74.38341
3,2,70.67305
3,8,60.46281
3,14,77.54056
3,20,64.44044
3,26,78.92775
3,32,66.82259
3,38,78.69752
3,44,68.66643
3,50,79.48582
4,2,80.52909
4,8,71.75844
4,14,83.6044
4,20,77.7781
4,26,87.10027
4,32,81.81384
4,38,88.12121
4,44,80.71189
4,50,86.44923
5,2,74.2136
5,8,55.51928
5,14,76.3532
5,20,60.98483
5,26,77.73179
5,32,60.2166
5,38,77.79021
5,44,62.91554
5,50,78.60061
