id,time,y,ytype,amount,V,Cl
1,0,.,.,100,9.6131,1.0262
1,0,10.678,1,.,9.6131,1.0262
1,0,0,2,.,9.6131,1.0262
1,5,5.5914,1,.,9.6131,1.0262
1,10,3.4652,1,.,9.6131,1.0262
1,10.705,1,2,.,9.6131,1.0262
1,15,1.9524,1,.,9.6131,1.0262
1,20,1.1213,1,.,9.6131,1.0262
1,25,0.73762,1,.,9.6131,1.0262
2,0,.,.,100,11.166,0.82259
2,0,9.1762,1,.,11.166,0.82259
2,0,0,2,.,11.166,0.82259
2,5,4.9019,1,.,11.166,0.82259
2,10,4.3075,1,.,11.166,0.82259
2,15,3.178,1,.,11.166,0.82259
2,20,2.0741,1,.,11.166,0.82259
2,25,1.3063,1,.,11.166,0.82259
2,30,0,2,.,11.166,0.82259
3,0,.,.,100,10.796,1.4397
3,0,10.183,1,.,10.796,1.4397
3,0,0,2,.,10.796,1.4397
3,5,5.0084,1,.,10.796,1.4397
3,10,2.4363,1,.,10.796,1.4397
3,15,1.3565,1,.,10.796,1.4397
3,20,0.74924,1,.,10.796,1.4397
3,25,0.32054,1,.,10.796,1.4397
3,30,0,2,.,10.796,1.4397
4,0,.,.,100,7.2412,0.67218
4,0,12.618,1,.,7.2412,0.67218
4,0,0,2,.,7.2412,0.67218
4,1.0773,1,2,.,7.2412,0.67218
4,5,6.8277,1,.,7.2412,0.67218
4,10,5.5934,1,.,7.2412,0.67218
4,15,3.2219,1,.,7.2412,0.67218
4,20,2.2264,1,.,7.2412,0.67218
4,25,1.5965,1,.,7.2412,0.67218
5,0,.,.,100,10.668,1.1716
5,0,9.1274,1,.,10.668,1.1716
5,0,0,2,.,10.668,1.1716
5,5,4.2911,1,.,10.668,1.1716
5,10,3.5925,1,.,10.668,1.1716
5,15,1.8088,1,.,10.668,1.1716
5,20,1.0115,1,.,10.668,1.1716
5,25,0.54498,1,.,10.668,1.1716
5,27.442,1,2,.,10.668,1.1716
6,0,.,.,100,11.226,0.84136
6,0,8.989,1,.,11.226,0.84136
6,0,0,2,.,11.226,0.84136
6,5,6.3315,1,.,11.226,0.84136
6,10,3.6414,1,.,11.226,0.84136
6,15,2.6978,1,.,11.226,0.84136
6,20,1.9833,1,.,11.226,0.84136
6,25,1.274,1,.,11.226,0.84136
6,28.323,1,2,.,11.226,0.84136
7,0,.,.,100,14.45,0.89377
7,0,6.8292,1,.,14.45,0.89377
7,0,0,2,.,14.45,0.89377
7,0.66647,1,2,.,14.45,0.89377
7,5,4.4039,1,.,14.45,0.89377
7,10,3.6384,1,.,14.45,0.89377
7,15,2.6016,1,.,14.45,0.89377
7,20,2.117,1,.,14.45,0.89377
7,25,1.2809,1,.,14.45,0.89377
8,0,.,.,100,8.0034,1.1694
8,0,11.188,1,.,8.0034,1.1694
8,0,0,2,.,8.0034,1.1694
8,5,6.885,1,.,8.0034,1.1694
8,10,2.6841,1,.,8.0034,1.1694
8,12.781,1,2,.,8.0034,1.1694
8,15,1.2783,1,.,8.0034,1.1694
8,20,0.56493,1,.,8.0034,1.1694
8,25,0.303,1,.,8.0034,1.1694
9,0,.,.,100,11.627,0.80738
9,0,9.4254,1,.,11.627,0.80738
9,0,0,2,.,11.627,0.80738
9,3.9537,1,2,.,11.627,0.80738
9,5,6.0585,1,.,11.627,0.80738
9,10,4.885,1,.,11.627,0.80738
9,15,3.1706,1,.,11.627,0.80738
9,20,1.7376,1,.,11.627,0.80738
9,25,1.4433,1,.,11.627,0.80738
10,0,.,.,100,8.9286,1.2576
10,0,12.797,1,.,8.9286,1.2576
10,0,0,2,.,8.9286,1.2576
10,1.302,1,2,.,8.9286,1.2576
10,5,5.3137,1,.,8.9286,1.2576
10,10,2.3827,1,.,8.9286,1.2576
10,15,1.4626,1,.,8.9286,1.2576
10,20,0.70005,1,.,8.9286,1.2576
10,25,0.35195,1,.,8.9286,1.2576
11,0,.,.,100,8.1139,1.0441
11,0,10.604,1,.,8.1139,1.0441
11,0,0,2,.,8.1139,1.0441
11,5,6.8034,1,.,8.1139,1.0441
11,10,2.9952,1,.,8.1139,1.0441
11,15,1.6391,1,.,8.1139,1.0441
11,20,1.0656,1,.,8.1139,1.0441
11,25,0.46364,1,.,8.1139,1.0441
11,30,0,2,.,8.1139,1.0441
12,0,.,.,100,9.9694,0.93374
12,0,11.634,1,.,9.9694,0.93374
12,0,0,2,.,9.9694,0.93374
12,5,7.347,1,.,9.9694,0.93374
12,10,3.9768,1,.,9.9694,0.93374
12,15,2.6496,1,.,9.9694,0.93374
12,20,1.305,1,.,9.9694,0.93374
12,25,0.82009,1,.,9.9694,0.93374
12,30,0,2,.,9.9694,0.93374
13,0,.,.,100,10.356,1.0024
13,0,8.7712,1,.,10.356,1.0024
13,0,0,2,.,10.356,1.0024
13,5,5.9605,1,.,10.356,1.0024
13,10,4.0944,1,.,10.356,1.0024
13,15,2.4973,1,.,10.356,1.0024
13,20,1.4897,1,.,10.356,1.0024
13,25,0.85906,1,.,10.356,1.0024
13,30,0,2,.,10.356,1.0024
14,0,.,.,100,8.8331,0.97968
14,0,12.29,1,.,8.8331,0.97968
