id time Event
1 153 1
1 262 2
1 365 0
2 34 1
2 109 2
2 365 0
3 359 1
3 365 0
4 15 1
4 127 2
4 365 0
5 365 0
6 44 1
6 69 2
6 365 0
7 81 1
7 365 0
8 365 0
9 81 1
9 305 2
9 320 3
9 358 4
9 365 0
10 101 1
10 151 2
10 315 3
10 365 0
11 98 1
11 173 2
11 268 3
11 336 4
11 365 0
12 125 1
12 157 2
12 260 3
12 365 0
13 365 0
14 270 1
14 365 0
15 38 1
15 43 2
15 127 3
15 147 4
15 365 0
16 99 1
16 365 0
17 353 1
17 365 0
18 124 1
18 152 2
18 232 3
18 288 4
18 352 5
18 365 0
19 68 1
19 184 2
19 257 3
19 278 4
19 304 5
19 365 0
20 60 1
20 62 2
20 113 3
20 365 0
21 148 1
21 343 2
21 365 0
22 118 1
22 349 2
22 365 0
23 365 0
24 85 1
24 92 2
24 128 3
24 212 4
24 357 5
24 365 0
25 318 1
25 365 0
26 1 1
26 104 2
26 131 3
26 141 4
26 266 5
26 365 0
27 10 1
27 233 2
27 257 3
27 365 0
28 28 1
28 313 2
28 365 0
29 365 0
30 90 1
30 365 0
31 22 1
31 212 2
31 365 0
32 105 1
32 365 0
33 294 1
33 311 2
33 365 0
34 120 1
34 360 2
34 365 0
35 83 1
35 365 0
36 24 1
36 159 2
36 365 0
37 104 1
37 124 2
37 165 3
37 169 4
37 365 0
38 250 1
38 281 2
38 362 3
38 365 0
39 365 0
40 11 1
40 32 2
40 80 3
40 150 4
40 223 5
40 241 6
40 335 7
40 338 8
40 365 0
41 365 0
42 112 1
42 137 2
42 257 3
42 344 4
42 365 0
43 97 1
43 290 2
43 365 0
44 13 1
44 211 2
44 327 3
44 365 0
45 59 1
45 65 2
45 242 3
45 243 4
45 313 5
45 358 6
45 365 0
46 249 1
46 261 2
46 365 0
47 365 0
48 116 1
48 365 0
49 127 1
49 299 2
49 340 3
49 361 4
49 365 0
50 75 1
50 231 2
50 260 3
50 267 4
50 302 5
50 330 6
50 365 0
51 160 1
51 365 0
52 181 1
52 230 2
52 365 0
53 213 1
53 365 0
54 36 1
54 365 0
55 82 1
55 233 2
55 365 0
56 46 1
56 184 2
56 351 3
56 365 0
57 8 1
57 145 2
57 365 0
58 16 1
58 169 2
58 221 3
58 365 0
59 200 1
59 362 2
59 365 0
60 320 1
60 365 0
61 22 1
61 35 2
61 271 3
61 293 4
61 342 5
61 365 0
62 365 0
63 43 1
63 158 2
63 337 3
63 365 0
64 14 1
64 17 2
64 67 3
64 86 4
64 205 5
64 365 0
65 72 1
65 109 2
65 122 3
65 365 0
66 63 1
66 182 2
66 238 3
66 257 4
66 365 0
67 46 1
67 184 2
67 365 0
68 129 1
68 365 0
69 42 1
69 225 2
69 242 3
69 361 4
69 365 0
70 207 1
70 365 0
71 20 1
71 365 0
72 365 0
73 228 1
73 365 0
74 10 1
74 148 2
74 170 3
74 322 4
74 365 0
75 32 1
75 66 2
75 292 3
75 365 0
76 193 1
76 365 0
77 170 1
77 365 0
78 45 1
78 46 2
78 104 3
78 141 4
78 159 5
78 247 6
78 251 7
78 267 8
78 329 9
78 365 0
79 67 1
79 81 2
79 89 3
79 204 4
79 235 5
79 332 6
79 341 7
79 365 0
80 40 1
80 291 2
80 365 0
81 148 1
81 314 2
81 349 3
81 365 0
82 124 1
82 229 2
82 236 3
82 365 0
83 66 1
83 70 2
83 365 0
84 58 1
84 365 0
85 254 1
85 365 0
86 365 0
87 44 1
87 163 2
87 220 3
87 255 4
87 365 0
88 63 1
88 237 2
88 359 3
88 365 0
89 123 1
89 170 2
89 254 3
89 365 0
90 365 0
91 149 1
91 229 2
91 365 0
92 220 1
92 365 0
93 349 1
93 365 0
94 308 1
94 329 2
94 365 0
95 70 1
95 155 2
95 162 3
95 254 4
95 365 0
96 365 0
97 365 0
98 356 1
98 365 0
99 202 1
99 365 0
100 8 1
100 50 2
100 52 3
100 115 4
100 234 5
100 365 0
101 265 1
101 365 0
102 365 0
103 365 0
104 128 1
104 338 2
104 365 0
105 365 0
106 156 1
106 365 0
107 255 1
107 365 0
108 54 1
108 257 2
108 365 0
109 332 1
109 365 0
110 217 1
110 275 2
110 365 0
111 117 1
111 162 2
111 322 3
111 365 0
112 278 1
112 365 0
113 122 1
113 142 2
113 171 3
113 232 4
113 309 5
113 365 0
114 121 1
114 365 0
115 12 1
115 286 2
115 365 0
116 12 1
116 314 2
116 365 0
117 191 1
117 223 2
117 290 3
117 365 0
118 170 1
118 262 2
118 277 3
118 365 0
119 186 1
119 290 2
119 330 3
119 365 0
120 196 1
120 365 0
121 15 1
121 212 2
121 247 3
121 268 4
121 365 0
122 365 0
123 148 1
123 162 2
123 246 3
123 345 4
123 365 0
124 128 1
124 365 0
125 226 1
125 250 2
125 298 3
125 365 0
126 220 1
126 365 0
127 81 1
127 202 2
127 365 0
128 68 1
128 365 0
129 365 0
130 365 0
131 365 0
132 55 1
132 293 2
132 365 0
133 95 1
133 226 2
133 311 3
133 365 0
134 64 1
134 253 2
134 278 3
134 365 0
135 24 1
135 119 2
135 259 3
