id time prev_T
1 153 0
1 262 153
1 365 262
2 34 0
2 109 34
2 365 109
3 359 0
3 365 359
4 15 0
4 127 15
4 365 127
5 365 0
6 44 0
6 69 44
6 365 69
7 81 0
7 365 81
8 365 0
9 81 0
9 305 81
9 320 305
9 358 320
9 365 358
10 101 0
10 151 101
10 315 151
10 365 315
11 98 0
11 173 98
11 268 173
11 336 268
11 365 336
12 125 0
12 157 125
12 260 157
12 365 260
13 365 0
14 270 0
14 365 270
15 38 0
15 43 38
15 127 43
15 147 127
15 365 147
16 99 0
16 365 99
17 353 0
17 365 353
18 124 0
18 152 124
18 232 152
18 288 232
18 352 288
18 365 352
19 68 0
19 184 68
19 257 184
19 278 257
19 304 278
19 365 304
20 60 0
20 62 60
20 113 62
20 365 113
21 148 0
21 343 148
21 365 343
22 118 0
22 349 118
22 365 349
23 365 0
24 85 0
24 92 85
24 128 92
24 212 128
24 357 212
24 365 357
25 318 0
25 365 318
26 1 0
26 104 1
26 131 104
26 141 131
26 266 141
26 365 266
27 10 0
27 233 10
27 257 233
27 365 257
28 28 0
28 313 28
28 365 313
29 365 0
30 90 0
30 365 90
31 22 0
31 212 22
31 365 212
32 105 0
32 365 105
33 294 0
33 311 294
33 365 311
34 120 0
34 360 120
34 365 360
35 83 0
35 365 83
36 24 0
36 159 24
36 365 159
37 104 0
37 124 104
37 165 124
37 169 165
37 365 169
38 250 0
38 281 250
38 362 281
38 365 362
39 365 0
40 11 0
40 32 11
40 80 32
40 150 80
40 223 150
40 241 223
40 335 241
40 338 335
40 365 338
41 365 0
42 112 0
42 137 112
42 257 137
42 344 257
42 365 344
43 97 0
43 290 97
43 365 290
44 13 0
44 211 13
44 327 211
44 365 327
45 59 0
45 65 59
45 242 65
45 243 242
45 313 243
45 358 313
45 365 358
46 249 0
46 261 249
46 365 261
47 365 0
48 116 0
48 365 116
49 127 0
49 299 127
49 340 299
49 361 340
49 365 361
50 75 0
50 231 75
50 260 231
50 267 260
50 302 267
50 330 302
50 365 330
51 160 0
51 365 160
52 181 0
52 230 181
52 365 230
53 213 0
53 365 213
54 36 0
54 365 36
55 82 0
55 233 82
55 365 233
56 46 0
56 184 46
56 351 184
56 365 351
57 8 0
57 145 8
57 365 145
58 16 0
58 169 16
58 221 169
58 365 221
59 200 0
59 362 200
59 365 362
60 320 0
60 365 320
61 22 0
61 35 22
61 271 35
61 293 271
61 342 293
61 365 342
62 365 0
63 43 0
63 158 43
63 337 158
63 365 337
64 14 0
64 17 14
64 67 17
64 86 67
64 205 86
64 365 205
65 72 0
65 109 72
65 122 109
65 365 122
66 63 0
66 182 63
66 238 182
66 257 238
66 365 257
67 46 0
67 184 46
67 365 184
68 129 0
68 365 129
69 42 0
69 225 42
69 242 225
69 361 242
69 365 361
70 207 0
70 365 207
71 20 0
71 365 20
72 365 0
73 228 0
73 365 228
74 10 0
74 148 10
74 170 148
74 322 170
74 365 322
75 32 0
75 66 32
75 292 66
75 365 292
76 193 0
76 365 193
77 170 0
77 365 170
78 45 0
78 46 45
78 104 46
78 141 104
78 159 141
78 247 159
78 251 247
78 267 251
78 329 267
78 365 329
79 67 0
79 81 67
79 89 81
79 204 89
79 235 204
79 332 235
79 341 332
79 365 341
80 40 0
80 291 40
80 365 291
81 148 0
81 314 148
81 349 314
81 365 349
82 124 0
82 229 124
82 236 229
82 365 236
83 66 0
83 70 66
83 365 70
84 58 0
84 365 58
85 254 0
85 365 254
86 365 0
87 44 0
87 163 44
87 220 163
87 255 220
87 365 255
88 63 0
88 237 63
88 359 237
88 365 359
89 123 0
89 170 123
89 254 170
89 365 254
90 365 0
91 149 0
91 229 149
91 365 229
92 220 0
92 365 220
93 349 0
93 365 349
94 308 0
94 329 308
94 365 329
95 70 0
95 155 70
95 162 155
95 254 162
95 365 254
96 365 0
97 365 0
98 356 0
98 365 356
99 202 0
99 365 202
100 8 0
100 50 8
100 52 50
100 115 52
100 234 115
100 365 234
101 265 0
101 365 265
102 365 0
103 365 0
104 128 0
104 338 128
104 365 338
105 365 0
106 156 0
106 365 156
107 255 0
107 365 255
108 54 0
108 257 54
108 365 257
109 332 0
109 365 332
110 217 0
110 275 217
110 365 275
111 117 0
111 162 117
111 322 162
111 365 322
112 278 0
112 365 278
113 122 0
113 142 122
113 171 142
113 232 171
113 309 232
113 365 309
114 121 0
114 365 121
115 12 0
115 286 12
115 365 286
116 12 0
116 314 12
116 365 314
117 191 0
117 223 191
117 290 223
117 365 290
118 170 0
118 262 170
118 277 262
118 365 277
119 186 0
119 290 186
119 330 290
119 365 330
120 196 0
120 365 196
121 15 0
121 212 15
121 247 212
121 268 247
121 365 268
122 365 0
123 148 0
123 162 148
123 246 162
123 345 246
123 365 345
124 128 0
124 365 128
125 226 0
125 250 226
125 298 250
125 365 298
126 220 0
126 365 220
127 81 0
127 202 81
127 365 202
128 68 0
128 365 68
129 365 0
130 365 0
131 365 0
132 55 0
132 293 55
132 365 293
133 95 0
133 226 95
133 311 226
133 365 311
134 64 0
134 253 64
134 278 253
134 365 278
135 24 0
135 119 24
135 259 119
135 316 259
135 365 316
136 34 0
136 62 34
136 162 62
136 192 162
136 298 192
136 310 298
136 354 310
136 365 354
137 110 0
137 198 110
137 359 198
137 365 359
138 96 0
138 365 96
139 125 0
139 226 125
139 365 226
140 365 0
141 38 0
141 160 38
141 189 160
141 193 189
141 266 193
141 365 266
142 4 0
142 50 4
142 365 50
143 40 0
143 112 40
143 357 112
143 365 357
144 79 0
144 203 79
144 365 203
145 283 0
145 304 283
145 365 304
146 88 0
146 119 88
146 174 119
146 309 174
146 365 309
147 63 0
147 332 63
147 365 332
148 131 0
148 154 131
148 365 154
149 41 0
149 350 41
149 365 350
150 95 0
150 365 95
151 294 0
151 365 294
152 304 0
152 327 304
152 365 327
153 173 0
153 251 173
153 365 251
154 24 0
154 86 24
154 365 86
155 21 0
155 49 21
155 248 49
155 317 248
155 365 317
156 365 0
157 207 0
157 210 207
157 225 210
157 347 225
157 365 347
158 69 0
158 365 69
159 133 0
159 365 133
160 32 0
160 196 32
160 281 196
160 365 281
161 12 0
161 95 12
161 184 95
161 365 184
162 365 0
163 19 0
163 176 19
163 359 176
163 365 359
164 365 0
165 57 0
165 58 57
165 260 58
165 365 260
166 216 0
166 365 216
167 151 0
167 216 151
167 365 216
168 101 0
168 303 101
168 365 303
169 53 0
169 89 53
169 203 89
169 306 203
169 365 306
170 365 0
171 125 0
171 365 125
172 94 0
172 114 94
172 365 114
173 47 0
173 365 47
174 203 0
174 262 203
174 306 262
174 365 306
175 3 0
175 58 3
175 322 58
175 365 322
176 96 0
176 365 96
177 113 0
177 331 113
177 365 331
178 325 0
178 355 325
178 365 355
179 30 0
179 344 30
179 365 344
180 34 0
180 365 34
181 39 0
181 90 39
181 202 90
181 245 202
181 365 245
182 11 0
182 86 11
182 365 86
183 365 0
184 53 0
184 287 53
184 355 287
184 365 355
185 277 0
185 309 277
185 365 309
186 247 0
186 365 247
187 54 0
187 77 54
187 311 77
187 365 311
188 365 0
189 22 0
189 58 22
189 212 58
189 268 212
189 277 268
189 365 277
190 2 0
190 21 2
190 365 21
191 272 0
191 309 272
191 365 309
192 360 0
192 365 360
193 138 0
193 181 138
193 365 181
194 78 0
194 88 78
194 134 88
194 325 134
194 365 325
195 60 0
195 365 60
196 11 0
196 159 11
196 338 159
196 365 338
197 93 0
197 114 93
197 365 114
198 208 0
198 287 208
198 365 287
199 365 0
200 68 0
200 365 68
201 139 0
201 365 139
202 365 0
203 232 0
203 326 232
203 365 326
204 37 0
204 41 37
204 365 41
205 196 0
205 303 196
205 365 303
206 105 0
206 342 105
206 365 342
207 143 0
207 222 143
207 365 222
208 365 0
209 365 0
210 100 0
210 365 100
211 365 0
212 69 0
212 224 69
212 365 224
213 89 0
213 360 89
213 365 360
214 41 0
214 144 41
214 260 144
214 365 260
215 181 0
215 190 181
215 347 190
215 365 347
216 173 0
216 278 173
216 350 278
216 365 350
217 9 0
217 365 9
218 321 0
218 365 321
219 314 0
219 351 314
219 365 351
220 7 0
220 105 7
220 275 105
220 303 275
220 365 303
221 365 0
222 182 0
222 365 182
223 58 0
223 99 58
223 365 99
224 77 0
224 303 77
224 365 303
225 113 0
225 141 113
225 316 141
225 365 316
226 142 0
226 365 142
227 7 0
227 207 7
227 237 207
227 274 237
227 333 274
227 365 333
228 178 0
228 217 178
228 220 217
228 365 220
229 10 0
229 45 10
229 365 45
230 310 0
230 365 310
231 365 0
232 7 0
232 89 7
232 133 89
232 215 133
232 308 215
232 365 308
233 164 0
233 223 164
233 271 223
233 307 271
233 365 307
234 179 0
234 365 179
235 365 0
236 177 0
236 365 177
237 88 0
237 234 88
237 273 234
237 365 273
238 79 0
238 100 79
238 136 100
238 273 136
238 296 273
238 365 296
239 159 0
239 257 159
239 365 257
240 256 0
240 365 256
241 208 0
241 365 208
242 4 0
242 43 4
242 102 43
242 232 102
242 310 232
242 365 310
243 208 0
243 365 208
244 94 0
244 364 94
244 365 364
245 9 0
245 24 9
245 27 24
245 141 27
245 329 141
245 365 329
246 26 0
246 278 26
246 362 278
246 365 362
247 11 0
247 16 11
247 214 16
247 365 214
248 52 0
248 195 52
248 360 195
248 365 360
249 29 0
249 42 29
249 97 42
249 131 97
249 176 131
249 365 176
250 57 0
250 186 57
250 202 186
250 248 202
250 365 248
251 52 0
251 58 52
251 80 58
251 348 80
251 365 348
252 190 0
252 309 190
252 365 309
253 5 0
253 45 5
253 95 45
253 221 95
253 365 221
254 11 0
254 244 11
254 260 244
254 365 260
255 208 0
255 232 208
255 245 232
255 248 245
255 365 248
256 53 0
256 54 53
256 251 54
256 278 251
256 365 278
257 282 0
257 365 282
258 16 0
258 166 16
258 365 166
259 80 0
259 365 80
260 123 0
260 365 123
261 13 0
261 133 13
261 271 133
261 365 271
262 11 0
262 183 11
262 365 183
263 163 0
263 365 163
264 140 0
264 144 140
264 365 144
265 116 0
265 365 116
266 17 0
266 339 17
266 365 339
267 74 0
267 365 74
268 324 0
268 365 324
269 146 0
269 365 146
270 278 0
270 297 278
270 365 297
271 59 0
271 132 59
271 134 132
271 264 134
271 365 264
272 365 0
273 179 0
273 187 179
273 226 187
273 361 226
273 365 361
274 217 0
274 243 217
274 365 243
275 112 0
275 134 112
275 213 134
275 337 213
275 365 337
276 102 0
276 365 102
277 236 0
277 263 236
277 289 263
277 365 289
278 35 0
278 234 35
278 365 234
