id	time	y	ytype	amount
1	0	.	.	100
1	2	78.8	2	.
1	5	6	1	.
1	8	68.1	2	.
1	10	3.2	1	.
1	12	.	.	100
1	14	83.4	2	.
1	15	10.2	1	.
1	20	5.1	1	.
1	20	73.2	2	.
1	24	.	.	100
1	25	13	1	.
1	26	84.3	2	.
1	30	7.9	1	.
1	32	71.5	2	.
1	35	4.4	1	.
1	36	.	.	100
1	38	85.1	2	.
1	40	9.3	1	.
1	44	75.8	2	.
1	45	5.4	1	.
1	48	.	.	100
1	50	10.6	1	.
1	50	84	2	.
2	0	.	.	100
2	2	71.5	2	.
2	5	5.9	1	.
2	8	59.9	2	.
2	10	4	1	.
2	12	.	.	100
2	14	78	2	.
2	15	8.6	1	.
2	20	6	1	.
2	20	67.6	2	.
2	24	.	.	100
2	25	12.3	1	.
2	26	79.1	2	.
2	30	7.7	1	.
2	32	69.5	2	.
2	35	5.9	1	.
2	36	.	.	100
2	38	79.6	2	.
2	40	10.5	1	.
2	44	69	2	.
2	45	6.9	1	.
2	48	.	.	100
2	50	11.4	1	.
2	50	79.9	2	.
3	0	.	.	100
3	2	73.5	2	.
3	5	7.7	1	.
3	8	62.3	2	.
3	10	4.3	1	.
3	12	.	.	100
3	14	79.8	2	.
3	15	10.2	1	.
3	20	7.8	1	.
3	20	68.2	2	.
3	24	.	.	100
3	25	12.7	1	.
3	26	81.7	2	.
3	30	7.3	1	.
3	32	70.8	2	.
3	35	5.4	1	.
3	36	.	.	100
3	38	80.6	2	.
3	40	11.1	1	.
3	44	69.4	2	.
3	45	7.6	1	.
3	48	.	.	100
3	50	9.5	1	.
3	50	81.1	2	.
4	0	.	.	100
4	2	66.5	2	.
4	5	6.1	1	.
4	8	54.2	2	.
4	10	4.4	1	.
4	12	.	.	100
4	14	74.4	2	.
4	15	9	1	.
4	20	7.4	1	.
4	20	61.5	2	.
4	24	.	.	100
4	25	15.6	1	.
4	26	74.2	2	.
4	30	7.7	1	.
4	32	66.4	2	.
4	35	5.4	1	.
4	36	.	.	100
4	38	76.4	2	.
4	40	9.7	1	.
4	44	64.2	2	.
4	45	6.5	1	.
4	48	.	.	100
4	50	12.4	1	.
4	50	75.6	2	.
5	0	.	.	100
5	2	74.1	2	.
5	5	6.9	1	.
5	8	62.8	2	.
5	10	4.4	1	.
5	12	.	.	100
5	14	78.3	2	.
5	15	9	1	.
5	20	5.8	1	.
5	20	68.4	2	.
5	24	.	.	100
5	25	12.5	1	.
5	26	80.8	2	.
5	30	8.3	1	.
5	32	71.1	2	.
5	35	4.5	1	.
5	36	.	.	100
5	38	81.5	2	.
5	40	10.9	1	.
5	44	71.9	2	.
5	45	6.6	1	.
5	48	.	.	100
5	50	12.4	1	.
5	50	81.9	2	.
