id,time,y,ytype,amount
1,0,.,.,100
1,2,78.829,2,.
1,5,6.0305,1,.
1,8,68.063,2,.
1,10,3.202,1,.
1,12,.,.,100
1,14,83.363,2,.
1,15,10.24,1,.
1,20,5.0839,1,.
1,20,73.207,2,.
1,24,.,.,100
1,25,13.013,1,.
1,26,84.339,2,.
1,30,7.8745,1,.
1,32,71.54,2,.
1,35,4.4112,1,.
1,36,.,.,100
1,38,85.119,2,.
1,40,9.2968,1,.
1,44,75.774,2,.
1,45,5.3764,1,.
1,48,.,.,100
1,50,10.605,1,.
1,50,83.968,2,.
2,0,.,.,100
2,2,71.526,2,.
2,5,5.9074,1,.
2,8,59.923,2,.
2,10,3.9592,1,.
2,12,.,.,100
2,14,77.994,2,.
2,15,8.6396,1,.
2,20,5.9513,1,.
2,20,67.58,2,.
2,24,.,.,100
2,25,12.345,1,.
2,26,79.149,2,.
2,30,7.6567,1,.
2,32,69.542,2,.
2,35,5.8919,1,.
2,36,.,.,100
2,38,79.627,2,.
2,40,10.455,1,.
2,44,69.041,2,.
2,45,6.8531,1,.
2,48,.,.,100
2,50,11.351,1,.
2,50,79.861,2,.
3,0,.,.,100
3,2,73.501,2,.
3,5,7.7026,1,.
3,8,62.29,2,.
3,10,4.2776,1,.
3,12,.,.,100
3,14,79.809,2,.
3,15,10.214,1,.
3,20,7.8496,1,.
3,20,68.167,2,.
3,24,.,.,100
3,25,12.69,1,.
3,26,81.709,2,.
3,30,7.2521,1,.
3,32,70.769,2,.
3,35,5.3813,1,.
3,36,.,.,100
3,38,80.554,2,.
3,40,11.072,1,.
3,44,69.415,2,.
3,45,7.5845,1,.
3,48,.,.,100
3,50,9.5279,1,.
3,50,81.132,2,.
4,0,.,.,100
4,2,66.484,2,.
4,5,6.0906,1,.
4,8,54.223,2,.
4,10,4.443,1,.
4,12,.,.,100
4,14,74.387,2,.
4,15,9.001,1,.
4,20,7.3616,1,.
4,20,61.528,2,.
4,24,.,.,100
4,25,15.644,1,.
4,26,74.157,2,.
4,30,7.7238,1,.
4,32,66.355,2,.
4,35,5.3692,1,.
4,36,.,.,100
4,38,76.44,2,.
4,40,9.6912,1,.
4,44,64.189,2,.
4,45,6.5068,1,.
4,48,.,.,100
4,50,12.442,1,.
4,50,75.591,2,.
5,0,.,.,100
5,2,74.08,2,.
5,5,6.9361,1,.
5,8,62.757,2,.
5,10,4.3823,1,.
5,12,.,.,100
5,14,78.315,2,.
5,15,8.9757,1,.
5,20,5.8436,1,.
5,20,68.424,2,.
5,24,.,.,100
5,25,12.48,1,.
5,26,80.798,2,.
5,30,8.265,1,.
5,32,71.082,2,.
5,35,4.5015,1,.
5,36,.,.,100
5,38,81.48,2,.
5,40,10.938,1,.
5,44,71.867,2,.
5,45,6.6126,1,.
5,48,.,.,100
5,50,12.43,1,.
5,50,81.884,2,.
