id,time,y1
1,5,6.0305
1,10,3.202
1,15,10.24
1,20,5.0839
1,25,13.013
1,30,7.8745
1,35,4.4112
1,40,9.2968
1,45,5.3764
1,50,10.605
2,5,5.9074
2,10,3.9592
2,15,8.6396
2,20,5.9513
2,25,12.345
2,30,7.6567
2,35,5.8919
2,40,10.455
2,45,6.8531
2,50,11.351
3,5,7.7026
3,10,4.2776
3,15,10.214
3,20,7.8496
3,25,12.69
3,30,7.2521
3,35,5.3813
3,40,11.072
3,45,7.5845
3,50,9.5279
4,5,6.0906
4,10,4.443
4,15,9.001
4,20,7.3616
4,25,15.644
4,30,7.7238
4,35,5.3692
4,40,9.6912
4,45,6.5068
4,50,12.442
5,5,6.9361
5,10,4.3823
5,15,8.9757
5,20,5.8436
5,25,12.48
5,30,8.265
5,35,4.5015
5,40,10.938
5,45,6.6126
5,50,12.43
