id,time,y1
1,5,6.0305
1,10,3.20199
1,15,10.23989
1,20,5.08394
1,25,13.01343
1,30,7.87446
1,35,4.41117
1,40,9.29684
1,45,5.3764
1,50,10.60493
2,5,5.90739
2,10,3.95918
2,15,8.63959
2,20,5.95133
2,25,12.34458
2,30,7.65672
2,35,5.89186
2,40,10.45466
2,45,6.85312
2,50,11.35103
3,5,7.70263
3,10,4.2776
3,15,10.21373
3,20,7.84955
3,25,12.68958
3,30,7.25209
3,35,5.38127
3,40,11.07153
3,45,7.5845
3,50,9.52791
4,5,6.09057
4,10,4.44298
4,15,9.00101
4,20,7.36158
4,25,15.64396
4,30,7.72382
4,35,5.3692
4,40,9.69116
4,45,6.50682
4,50,12.4416
5,5,6.93609
5,10,4.38235
5,15,8.97572
5,20,5.84361
5,25,12.48019
5,30,8.26501
5,35,4.50146
5,40,10.9376
5,45,6.61258
5,50,12.43042
