id,time,y,ytype,amount
1,0,.,.,100
1,2,77.94171,2,.
1,5,8.97203,1,.
1,8,68.515,2,.
1,10,6.88611,1,.
1,12,.,.,100
1,14,84.6002,2,.
1,15,13.11039,1,.
1,20,10.08668,1,.
1,20,77.39287,2,.
1,24,.,.,100
1,25,16.98376,1,.
1,26,84.89897,2,.
1,30,13.22664,1,.
1,32,78.986,2,.
1,35,7.55916,1,.
1,36,.,.,100
1,38,85.64299,2,.
1,40,18.21335,1,.
1,44,79.31838,2,.
1,45,10.87545,1,.
1,48,.,.,100
1,50,17.50452,1,.
1,50,87.87676,2,.
2,0,.,.,100
2,2,69.39554,2,.
2,5,6.05951,1,.
2,8,52.24664,2,.
2,10,3.01191,1,.
2,12,.,.,100
2,14,73.85824,2,.
2,15,11.1801,1,.
2,20,4.24037,1,.
2,20,59.17004,2,.
2,24,.,.,100
2,25,11.22323,1,.
2,26,75.17182,2,.
2,30,7.20786,1,.
2,32,56.63569,2,.
2,35,3.48875,1,.
2,36,.,.,100
2,38,73.88728,2,.
2,40,9.73081,1,.
2,44,58.08089,2,.
2,45,4.19089,1,.
2,48,.,.,100
2,50,10.47569,1,.
2,50,74.38341,2,.
3,0,.,.,100
3,2,70.67305,2,.
3,5,5.02918,1,.
3,8,60.46281,2,.
3,10,3.4275,1,.
3,12,.,.,100
3,14,77.54056,2,.
3,15,8.32844,1,.
3,20,5.42283,1,.
3,20,64.44044,2,.
3,24,.,.,100
3,25,15.07314,1,.
3,26,78.92775,2,.
3,30,5.78876,1,.
3,32,66.82259,2,.
3,35,4.33745,1,.
3,36,.,.,100
3,38,78.69752,2,.
3,40,10.68815,1,.
3,44,68.66643,2,.
3,45,6.30168,1,.
3,48,.,.,100
3,50,10.51713,1,.
3,50,79.48582,2,.
4,0,.,.,100
4,2,80.52909,2,.
4,5,6.45343,1,.
4,8,71.75844,2,.
4,10,4.60841,1,.
4,12,.,.,100
4,14,83.6044,2,.
4,15,10.26258,1,.
4,20,8.34296,1,.
4,20,77.7781,2,.
4,24,.,.,100
4,25,15.84259,1,.
4,26,87.10027,2,.
4,30,9.06063,1,.
4,32,81.81384,2,.
4,35,6.63339,1,.
4,36,.,.,100
4,38,88.12121,2,.
4,40,15.01012,1,.
4,44,80.71189,2,.
4,45,7.94509,1,.
4,48,.,.,100
4,50,14.23091,1,.
4,50,86.44923,2,.
5,0,.,.,100
5,2,74.2136,2,.
5,5,5.15216,1,.
5,8,55.51928,2,.
5,10,2.87506,1,.
5,12,.,.,100
5,14,76.3532,2,.
5,15,9.90236,1,.
5,20,3.93524,1,.
5,20,60.98483,2,.
5,24,.,.,100
5,25,10.12187,1,.
5,26,77.73179,2,.
5,30,6.01862,1,.
5,32,60.2166,2,.
5,35,3.15043,1,.
5,36,.,.,100
5,38,77.79021,2,.
5,40,8.38547,1,.
5,44,62.91554,2,.
5,45,3.81403,1,.
5,48,.,.,100
5,50,10.50594,1,.
5,50,78.60061,2,.
